Deposit Name,Longitude,Latitude,Commodity Group,State,val
Snapper,142.12539,-33.41521,Heavy mineral sands,NSW,1
Sonoma,147.86000,-20.62000,Coal,QLD,1
South Kalgoorlie,121.61480,-31.03850,"Precious metals - Au, Ag",WA,1
South Walker Creek,148.44271,-21.77094,Coal,QLD,1
Southern Cross,119.50270,-31.46600,"Precious metals - Au, Ag",WA,1
Spotted Quoll,119.67780,-32.47818,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Springvale,150.10563,-33.40060,Coal,NSW,1
St Ives,121.74510,-31.32430,"Precious metals - Au, Ag",WA,1
Stratford,151.97360,-32.11766,Coal,NSW,1
Sunrise Dam,122.42450,-29.07750,"Precious metals - Au, Ag",WA,1
Tahmoor,150.57950,-34.25080,Coal,NSW,1
Tanami - Newmont,129.93360,-20.52560,"Precious metals - Au, Ag",NT,1
Tarong ,151.91152,-26.81354,Coal,QLD,1
Tarrawonga,150.16300,-30.63800,Coal,NSW,1
Telfer,122.21090,-21.72240,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Thalanga,145.76990,-20.34190,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
The Peak,145.87780,-31.56530,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Thunderbox,121.00540,-28.19200,"Precious metals - Au, Ag",WA,1
Tomingley,148.20670,-32.58480,"Precious metals - Au, Ag",NSW,1
Transvaal,122.07660,-28.74950,"Precious metals - Au, Ag",WA,1
Tritton,146.72160,-31.39560,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Tropicana,124.55000,-29.26000,"Precious metals - Au, Ag",WA,1
Ulan,149.74998,-32.24686,Coal,NSW,1
Union Reefs,131.79050,-13.71400,"Precious metals - Au, Ag",NT,1
Vine,121.71990,-31.75610,"Precious metals - Au, Ag",WA,1
Central Murchison,118.50780,-26.60540,"Precious metals - Au, Ag",WA,1
Vivien,120.56950,-27.97510,"Precious metals - Au, Ag",WA,1
WAIO,118.57008,-20.30862,Iron ore,WA,1
Walhalla ,120.65020,-30.15020,"Precious metals - Au, Ag",WA,1
Wallaby,122.30550,-28.85180,"Precious metals - Au, Ag",WA,1
Wallbrook,122.31030,-29.85810,"Precious metals - Au, Ag",WA,1
Wambo,150.99808,-32.57815,Coal,NSW,1
Warkworth,151.09016,-32.60701,Coal,NSW,1
Waroonga,120.50460,-27.00780,"Precious metals - Au, Ag",WA,1
Wattle Bird,121.05090,-30.51980,"Precious metals - Au, Ag",WA,1
Weipa,141.87320,-12.66370,Bauxite,QLD,1
Werris Creek,150.63950,-31.40698,Coal,NSW,1
West Angelas,118.78829,-23.18855,Iron ore,WA,1
Western Turner Syncline,117.58630,-22.66220,Iron ore,WA,1
Whangamata,118.44250,-26.66240,"Precious metals - Au, Ag",WA,1
Whim Creek,117.83058,-20.84373,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Whirling Dervish,122.35880,-30.14340,"Precious metals - Au, Ag",WA,1
White Dam,140.57930,-32.09550,"Precious metals - Au, Ag",SA,1
White Foil,121.25060,-30.77380,"Precious metals - Au, Ag",WA,1
Widgiemooltha,121.56400,-31.49467,"Precious metals - Au, Ag",WA,1
Willowdale,116.06182,-32.84510,Bauxite,WA,1
Wilpinjong,149.88500,-32.33200,Coal,NSW,1
Wollombi,147.90100,-21.25440,Coal,QLD,1
Wombola,121.83170,-30.99870,"Precious metals - Au, Ag",WA,1
Wonnerup ,115.45060,-33.65378,Heavy mineral sands,WA,1
Woodie Woodie,121.23547,-21.63877,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Woodlawn,149.57168,-35.06132,"Base metals - Zn, Pb (Cu, Ag)",NSW,1
Worsley,116.45591,-32.92921,Bauxite,WA,1
Yallourn,146.36040,-38.19506,Coal,VIC,1
Yandi,119.10333,-22.73484,Iron ore,WA,1
Yandicoogina,119.21246,-22.76369,Iron ore,WA,1
Yarrabee,149.02637,-23.31768,Coal,QLD,1
Zoroastrian,121.28600,-30.33510,"Precious metals - Au, Ag",WA,1
